"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
1,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Kalawa",0,0,0
2,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Tolo",0,,3
3,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Li-nakofu",0,0,0
4,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Makusa",0,0,0
5,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Kiliwa",0,0,1
6,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Nangume",0,0,0
7,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Nakale",0,0,0
8,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Limay/Kiliwa",0,0,0
9,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Pasy (ouest de Panagbala vers la RCA)",0,0,0
10,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Nakwakanza",0,0,0
11,"10-Jun","June-2010","Orientale","Haut-Uele","Dungu","Bangadi",0,0,0
12,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nangbende (5 km NO de Bamokandi)",0,0,0
13,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Suka (35 km S de Bangadi)",3,13,0
14,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Kakalika (3 km N de l aero MONUC)",0,2,0
15,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Route 4 (100 km E de Dungu)",0,0,0
16,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nagilidangwa (37 km S de Bangadi)",4,2,3
17,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nambiongo (20 km N de Dungu)",1,0,0
18,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Bayote (25 km E de Ngilima)",2,0,1
19,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Mangba (7 km E de Naango)",0,0,0
20,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Kiliwa (45 km N de Dungu)",0,0,0
21,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Kitili (5 km NO de Ngilima)",0,0,0
22,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Diagbe (35 NO de Bangadi)",1,0,0
23,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Napusi (2 km N de Bamokandi)",5,0,0
24,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Kakalika (3 km N de l aero MONUC)",2,0,0
25,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nakpudu (7 km NE de l aero MONUC)",1,0,0
26,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Buye (55 km NE de Banda)",4,0,0
27,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nagonyo (5 km NO de Bamokandi)",2,0,0
28,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Naguga (11 km N de Bamokandi)",0,1,1
29,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nanvii (5 km N de Bamokandi)",0,1,0
30,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Kilikili (3 km N de Bamokandi)",0,0,0
31,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Pudupudu (27 km NO de Dungu)",2,0,1
32,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Lanzi (5 km N de Dungu)",0,0,0
33,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Nasala (109 km E de Dungu)",0,0,0
34,"10-Jan","January-2010","Orientale","Haut-Uele","Dungu","Limayi (25 km N de Dungu)",2,0,0
35,"10-Jan","January-2010","Orientale","Haut-Uele","Niangara","Quartier Zande (3 km N de la ville de Niangara)",2,0,0
36,"10-Jan","January-2010","Orientale","Bas-Uele","Poko","Mburu (24 km E d Amadi)",0,4,0
37,"10-Feb","February-2010","Orientale","Haut-Uele","Dungu","Nabiapay (135 km N de Dungu)",0,2,0
38,"10-Feb","February-2010","Orientale","Haut-Uele","Dungu","Limay (25 km N de Dungu)",1,0,0
