"province","quarter","number","key","text"
"Sud Kivu",1,199799,"ret-jan-11","199,799"
"Orientale",1,172366,"ret-jan-11","172,366"
"Katanga",1,9080,"ret-jan-11","9,080"
"Equateur",1,,"ret-jan-11",
"Maniema",1,,"ret-jan-11",
"Nord Kivu",1,436005,"ret-jan-11","436,005"
"Sud Kivu",2,356798,"ret-apr-11","356,798"
"Orientale",2,143369,"ret-apr-11","143,369"
"Katanga",2,9080,"ret-apr-11","9,080"
"Equateur",2,90759,"ret-apr-11","90,759"
"Maniema",2,,"ret-apr-11",
"Nord Kivu",2,287604,"ret-apr-11","287,604"
"Sud Kivu",3,307853,"ret-jul-11","307,853"
"Orientale",3,75261,"ret-jul-11","75,261"
"Katanga",3,9080,"ret-jul-11","9,080"
"Equateur",3,92888,"ret-jul-11","92,888"
"Maniema",3,5880,"ret-jul-11","5,880"
"Nord Kivu",3,331726,"ret-jul-11","331,726"
