"unique_id","province","territory","locality","place","axe","source","month","month_text","date_incident","type_incident","category","sub_category","num_missing","num_injured","num_deaths"
1,"Nord Kivu","Lubero","Kimbulu","Voie publique","Lubero-Butembo","NRC","9-Jan","January-2009","1/3/09","Requisition forcee","Agression physique",,0,0,0
2,"Nord Kivu","Walikale","Ndjingala","Voie publique","Walikale centre - Lubutu","NRC","9-Jan","January-2009","1/9/09","Tracasseries","Detention physique","Arrestation",0,0,0
3,"Nord Kivu","Beni","Beni","Bureau","Beni","SC-UK","9-Jan","January-2009","1/14/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
4,"Nord Kivu","Rutshuru","Rwindi","Voie publique","Rwindi-Mabenga","MSF-B","9-Jan","January-2009","1/19/09","Pillage","Vol de rue","Avec violence physique",0,0,0
5,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","Solidaritթs","9-Jan","January-2009","1/21/09","Cambriolage ","Introduction dans une maison par effraction","Avec violence physique",0,1,0
6,"Nord Kivu","Lubero","Butembo","Bureau","Butembo","Oxfam-Quթbec","9-Feb","February-2009","2/6/09","Agression armee ","Agression physique","agression non sexuelle ",0,1,0
7,"Nord Kivu","Lubero","Kanyabayonga","Inconnu","Kanyabayonga-Nyanzale","APETAMACO","9-Feb","February-2009","2/8/09","Requisition forcee","Agression physique","Harcelement",0,0,0
8,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","PAM","9-Feb","February-2009","2/14/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
9,"Nord Kivu","Masisi","Masisi","Voie publique","Kitchanga-Mweso","IRC","9-Feb","February-2009","2/17/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
10,"Nord Kivu","Walikale","Mubanda","Bureau","Walikale-Mpofi","AAA","9-Feb","February-2009","2/17/09","Pillage","Vol de rue","Avec violence physique",0,0,0
11,"Nord Kivu","Masisi",,"Voie publique","Kitchanga-Bishusha","MSF-H","9-Feb","February-2009","2/18/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
12,"Nord Kivu","Masisi","Muhongozi","Voie publique","Kitchanga-Mweso","IRC","9-Feb","February-2009","2/19/09","Pillage","Vol de rue","Avec violence physique",0,0,0
13,"Nord Kivu","Rutshuru","JTN","Voie publique","Mweso-Lutiba","Mercy Corps","9-Feb","February-2009","2/19/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
14,"Nord Kivu","Lubero","Lubero","Voie publique","Lubero","Caritas Butembo","9-Feb","February-2009","2/24/09","Tracasseries","Detention physique","Arrestation",0,0,0
15,"Nord Kivu","Rutshuru","Kalengera","Voie publique","Kalengera-Tongo","MERLIN","9-Feb","February-2009","2/26/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
16,"Nord Kivu","Rutshuru","Tongo","Voie publique","Tongo-Kitchanga","MERLIN","9-Feb","February-2009","2/26/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
17,"Nord Kivu","Communes of Goma","Goma",,"Goma","PU","9-Feb","February-2009","2/27/09","Cambriolage ",,,0,0,0
18,"Nord Kivu","Masisi",,"Inconnu","Kitchanga-Mweso","CICR","9-Feb","February-2009","2/27/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
19,"Nord Kivu","Masisi",,"Voie publique","Kitchanga-Mweso","MERLIN","9-Feb","February-2009","2/27/09","Pillage","Vol de rue","Avec violence physique",0,0,0
20,"Nord Kivu","Masisi","Mushaki","Inconnu","Sake-Masisi centre","AREPS","9-Feb","February-2009","2/28/09","Agression armee ","Agression physique","agression non sexuelle ",0,1,0
21,"Nord Kivu","Masisi","Mweso","Vehicule","Mweso-Kalembe","MSF-H","9-Mar","March-2009","3/2/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
22,"Nord Kivu","Communes of Goma","Goma","Inconnu","Goma","Heal Africa","9-Mar","March-2009","3/5/09","Tracasseries","Detention physique","Arrestation",0,0,0
23,"Nord Kivu","Masisi",,"Vehicule","Goma-Sake","Solidaritթs","9-Mar","March-2009","3/5/09","Requisition forcee","Agression physique","Harcelement",0,0,0
24,"Nord Kivu","Rutshuru","Bambo","Vehicule","Bambo","MSF-F","9-Mar","March-2009","3/6/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
25,"Nord Kivu","Masisi","Muhongozi","Voie publique","Kitchanga-Mweso","PAM","9-Mar","March-2009","3/9/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
26,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","HCR","9-Mar","March-2009","3/11/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
27,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Mar","March-2009","3/13/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
28,"Nord Kivu","Masisi","Kirolirwe","Vehicule","Kirolirwe-Muheto","IRC","9-Mar","March-2009","3/18/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
29,"Nord Kivu","Rutshuru","Kalengera","Vehicule","Kako-Kalengera","IRC","9-Mar","March-2009","3/18/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
30,"Nord Kivu","Rutshuru","Burai","Voie publique","Burai-Bunagana","IRC","9-Mar","March-2009","3/31/09","Pillage","Vol de rue","Avec violence physique",0,0,0
31,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","Air-Serv","9-Apr","April-2009","4/2/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
32,"Nord Kivu","Beni","Beni","Bureau","Beni","OCHA Beni","9-Apr","April-2009","4/3/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
33,"Nord Kivu","Rutshuru","Rubare","Voie publique","Goma-Rutshuru","IRC","9-Apr","April-2009","4/6/09","Agression armee ","Vol de rue","Sans violence physique",0,0,0
34,"Nord Kivu","Rutshuru","Ngwenda","Voie publique","Kiwanja-Ishasha","IRC","9-Apr","April-2009","4/9/09","Agression armee ","Vol de rue","Sans violence physique",0,0,0
35,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Apr","April-2009","4/13/09","Tentative de vol / Pillage ","Vol de rue","Sans violence physique",0,0,0
36,"Nord Kivu","Masisi","Mubambiro","Voie publique","Goma-Sake","UNDSS","9-Apr","April-2009","4/14/09","Requisition forcee","Agression physique","Harcelement",0,0,0
37,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Apr","April-2009","4/21/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
38,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Apr","April-2009","4/21/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
39,"Nord Kivu","Rutshuru","Kalengera","Vehicule","Goma-Rutshuru","secours catholique","9-Apr","April-2009","4/22/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
40,"Nord Kivu","Rutshuru","Kiseguru","Voie publique","Kiwanja-Nyamilima","COOPI","9-Apr","April-2009","4/29/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
41,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","World Vision International","9-May","May-2009","5/6/09","Tentative de vol / Pillage ","Vol de rue","Sans violence physique",0,0,0
42,"Nord Kivu","Communes of Goma","Goma","Inconnu","Goma","Care International","9-May","May-2009","5/10/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
43,"Nord Kivu","Lubero","Mighobwe","Inconnu","Mighobwe","OCHA","9-May","May-2009","5/13/09","Requisition forcee","Agression physique","Harcelement",0,0,0
44,"Nord Kivu","Communes of Goma","Goma","Voie publique","Route EP Musawato","OCHA","9-May","May-2009","5/14/09","Agressions ","Voie de fait  avec violence",,0,0,0
45,"Nord Kivu","Beni","Kamango","Voie publique","Route Kamango","SOFEPADI / OCHA","9-May","May-2009","5/15/09","Pillage","Vol de rue","Avec violence physique",0,0,0
46,"Nord Kivu","Lubero","Kaseghe","Vehicule","Kanyabayonga-Lubero","OCHA / UNDSS","9-May","May-2009","5/15/09","Requisition forcee","Agression physique","Harcelement",0,0,0
47,"Nord Kivu","Lubero","Mighobwe","Voie publique","Kanyabayonga-Butembo","Oxfam-GB / OCHA","9-May","May-2009","5/17/09","Pillage","Vol de rue","Avec violence physique",0,0,0
48,"Nord Kivu","Beni","Kasindi","Inconnu","Route Kasindi","OCHA","9-May","May-2009","5/18/09","Requisition forcee","Agression physique","Harcelement",0,0,0
49,"Nord Kivu","Beni","Beni","Inconnu","Beni","OCHA","9-May","May-2009","5/19/09","Pillage","Vol de rue","Avec violence physique",0,0,0
50,"Nord Kivu","Communes of Goma","Goma","Domicile","Derriere H�_��tel Ihusi","UNDSS","9-May","May-2009","5/23/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
51,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","HCR","9-Jun","June-2009","6/1/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
52,"Nord Kivu","Walikale","Malemo","Voie publique","Kitchanga-Kalembe","PAM","9-Jun","June-2009","6/2/09","Agression armee ","Agression physique","agression non sexuelle ",0,1,0
53,"Nord Kivu","Lubero","Luseke","Voie publique","Lubero","OCHA","9-Jun","June-2009","6/3/09","Pillage","Vol de rue","Avec violence physique",0,0,0
54,"Nord Kivu","Masisi","Kirolirwe","Lieu public","Sake Kitchanga","SC-UK","9-Jun","June-2009","6/5/09","Tracasseries","Arrestation","Arrestation",0,0,0
55,"Nord Kivu","Communes of Goma","Quartier les volcans","Bureau","Goma","Action Aid","9-Jun","June-2009","6/7/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
56,"Nord Kivu","Lubero",,"Lieu public","Kayna - Kirumba","APETAMACO","9-Jun","June-2009","6/9/09","Tracasseries","Detention physique","Detention",0,0,0
57,"Nord Kivu","Beni","Beni","Domicile","Beni ville","OCHA","9-Jun","June-2009","6/12/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
58,"Nord Kivu","Lubero","Timbo Timbo","Voie publique","Timbo Timbo","OCHA","9-Jun","June-2009","6/14/09","Tracasseries","Agression physique","Harcelement",0,0,0
59,"Nord Kivu","Lubero","Kayna","Inconnu","Kanyabayonga - Kayna","APETAMACO","9-Jun","June-2009","6/17/09","Incendie","Voie de fait  avec violence","Voie de fait",0,0,0
60,"Nord Kivu","Communes of Goma","Goma",,"Goma","UNDSS","9-Jun","June-2009","6/21/09","Cambriolage ",,,0,0,0
61,"Nord Kivu","Communes of Goma","Goma",,"Goma","Solidaritթs","9-Jun","June-2009","6/23/09","Tentative de vol / Pillage ",,,0,0,0
62,"Nord Kivu","Lubero","Kirumba",,"Kanyabayonga - Lubero","OCHA","9-Jun","June-2009","6/23/09","Pillage",,,0,0,0
63,"Nord Kivu","Masisi","Kirolirwe",,"Sake-Kitchanga","COOPI er IRC","9-Jun","June-2009","6/23/09","Tracasseries",,,0,0,0
64,"Nord Kivu","Masisi","Kirolirwe",,"Sake-Kitchanga","IRC","9-Jun","June-2009","6/24/09","Pillage",,,0,0,0
65,"Nord Kivu","Walikale","Nyasi",,"Walikale-Nyasi","OCHA","9-Jun","June-2009","6/26/09","Agressions ",,,0,0,0
66,"Nord Kivu","Lubero","Lubero",,"Lubero-Kirumba","Oxfam-GB","9-Jun","June-2009","6/30/09","Pillage",,,0,0,0
67,"Nord Kivu","Communes of Goma","Goma","Domicile","Ville de Goma","UNDSS","9-Jul","July-2009","7/2/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
68,"Nord Kivu","Communes of Goma","Goma",,"Ville de Goma","UNDSS","9-Jul","July-2009","7/2/09","Cambriolage ",,,0,0,0
69,"Nord Kivu","Masisi","Kirotshe","Inconnu","Sake-Kirotshe","VSF-Suisse","9-Jul","July-2009","7/3/09","Tracasseries","Detention physique","Arrestation",0,0,0
70,"Nord Kivu","Communes of Goma","Goma","Domicile","Ville de Goma","UNDSS","9-Jul","July-2009","7/8/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
71,"Nord Kivu","Masisi","Kitchanga","Inconnu","Sake-Kitchanga","OCHA","9-Jul","July-2009","7/9/09","Agressions ","Voie de fait  avec violence","Agression physique",0,1,0
72,"Nord Kivu","Masisi","Kitchanga","Inconnu","Sake-Kitchanga","OCHA","9-Jul","July-2009","7/9/09","Pillage","Vol de rue","Avec violence physique",0,0,0
73,"Nord Kivu","Rutshuru","Kiwanja","Voie publique","Kiwanja","IRC","9-Jul","July-2009","7/10/09","Requisition forcee","Agression physique","Harcelement",0,0,0
74,"Nord Kivu","Communes of Goma","Goma","Lieu public","Goma-Gisenyi","ARD","9-Jul","July-2009","7/13/09","Tracasseries","Detention physique","Arrestation",0,0,0
75,"Nord Kivu","Masisi","Masisi","Inconnu","Sake-Masisi","NRC","9-Jul","July-2009","7/13/09","Tracasseries","Detention physique","Arrestation",0,0,0
76,"Nord Kivu","Rutshuru","Lusogha","Voie publique","Lusogha-Kikuku","WHH (ex AAA)","9-Jul","July-2009","7/13/09","Requisition forcee","Agression physique","Harcelement",0,0,0
77,"Nord Kivu","Rutshuru","Birundule","Inconnu","Birundule-Kikuku","WHH (ex AAA)","9-Jul","July-2009","7/14/09","Requisition forcee","Agression physique","Harcelement",0,0,0
78,"Nord Kivu","Rutshuru","Musezero","Inconnu","Rumangabo-Chengerero","OCHA","9-Jul","July-2009","7/15/09","Meurtre / Assassinat ","Agression physique","Meurtre",0,0,1
79,"Nord Kivu","Rutshuru","Kiwanja","Domicile","Rutshuru-Kiwanja","MSF-F","9-Jul","July-2009","7/20/09","Meurtre / Assassinat ","Agression physique","Meurtre",0,0,1
80,"Nord Kivu","Masisi","Kisuma","Inconnu","Mema-Kisuma","World Vision","9-Jul","July-2009","7/21/09","Pillage","Vol de rue","Avec violence physique",0,0,0
81,"Nord Kivu","Rutshuru","Mabenga",,"Kiwanja-Mabenga","MSF-F","9-Jul","July-2009","7/23/09","Pillage",,,0,0,0
82,"Nord Kivu","Nyiragongo","Kibati","Voie publique","Goma-Rutshuru","Helpage International","9-Jul","July-2009","7/24/09","Tracasseries","Detention physique","Arrestation",0,0,0
83,"Nord Kivu","Masisi","Kalembe","Inconnu","Mweso-Kashuga","MSF-H","9-Aug","August-2009","8/4/09","Pillage","Vol de rue","Avec violence physique",0,0,0
84,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Aug","August-2009","8/6/09","Agressions ","Voie de fait  avec violence","Agression physique",0,0,0
85,"Nord Kivu","Walikale","Walikale","Inconnu","Masisi-Walikale","OCHA","9-Aug","August-2009","8/8/09","Tracasseries","Detention physique","Arrestation",0,0,0
86,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Aug","August-2009","8/16/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
87,"Nord Kivu","Communes of Goma","Goma","Domicile","Goma","UNDSS","9-Aug","August-2009","8/23/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
88,"Nord Kivu","Rutshuru","Kiwanja","Voie publique","Kiwanja - Ishasha","CESVI","9-Aug","August-2009","8/26/09","Tracasseries","Detention physique","Arrestation",0,0,0
89,"Nord Kivu","Lubero","Vurondo","Inconnu","Rթgion de Vurondo","MONUC","9-Sep","September-2009","9/4/09","Agressions ","Voie de fait  avec violence","Agression physique",0,0,0
90,"Nord Kivu","Nyiragongo","Kibati","Voie publique","Goma-Rutshuru","CESVI","9-Sep","September-2009","9/5/09","Tracasseries","Detention physique","Arrestation",0,0,0
91,"Nord Kivu","Communes of Butembo","Butembo","Domicile","Lubero-Butembo","OCHA","9-Sep","September-2009","9/6/09","Meurtre / Assassinat ","Agression physique","Meurtre",0,0,1
92,"Nord Kivu","Communes of Goma","Goma","Voie publique","Goma-Sake","UNDSS","9-Sep","September-2009","9/8/09","Agressions ","Voie de fait  avec violence","Agression physique",0,0,0
93,"Nord Kivu","Communes of Goma","Quartier Himbi","Domicile","Goma","ECHO","9-Sep","September-2009","9/13/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
94,"Nord Kivu","Masisi","Kaniro","Voie publique","Kaniro-Katoyi centre","CARE International","9-Sep","September-2009","9/15/09","Requisition forcee","Agression physique","Harcelement",0,0,0
95,"Nord Kivu","Masisi","Mutiri","Voie publique","Masisi centre - Katale","NCA","9-Sep","September-2009","9/18/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
96,"Nord Kivu","Walikale","Malemo","Voie publique","Kalembe - Pinga","OIM","9-Sep","September-2009","9/22/09","Agression armee ","Agression physique","agression non sexuelle ",0,1,0
97,"Nord Kivu","Lubero","Luofu","Voie publique","Luofu - Kayna","OCHA","9-Sep","September-2009","9/26/09","Requisition forcee","Agression physique","Harcelement",0,0,0
98,"Nord Kivu","Communes of Goma","Quartier Mabanga Nord","Domicile","Goma ","CESVI","9-Sep","September-2009","9/28/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,1,0
99,"Nord Kivu","Lubero","Kanyabayonga","Lieu public","Kanyabayonga - Kirumba","OCHA","9-Sep","September-2009","9/30/09","Agressions ",,,0,0,0
100,"Nord Kivu","Rutshuru","Rutshuru","Lieu public","Rutshuru - Kiwanja","MSF-F","9-Oct","October-2009","10/1/09","Agression armee ","Agression physique","agression non sexuelle ",0,1,0
101,"Nord Kivu","Rutshuru","Chengerero","Voie publique","Chengero - Bunagana","Secours Catholique","9-Oct","October-2009","10/7/09","Requisition forcee","Agression physique","Harcelement",0,0,0
102,"Nord Kivu","Masisi","Kisuma","Voie publique","Bihambwe - Masisi centre","SC-UK","9-Oct","October-2009","10/8/09","Pillage","Vol de rue","Avec violence physique",0,0,0
103,"Nord Kivu","Rutshuru","Kabirangiriro","Voie publique","Kikuku-Ihula","AVSI","9-Oct","October-2009","10/8/09","Pillage","Vol de rue","Avec violence physique",0,0,0
104,"Nord Kivu","Rutshuru","Chengerero","Voie publique","Chengerero - Bunagana","Secours Catholique","9-Oct","October-2009","10/9/09","Requisition forcee","Agression physique","Harcelement",0,0,0
105,"Nord Kivu","Communes of Goma","Quartier Kyeshero","Domicile","Goma","UNDSS","9-Oct","October-2009","10/10/09","Tentative de vol / Pillage ","Vol de rue","Avec violence physique",0,0,0
106,"Nord Kivu","Walikale","Malemo","Voie publique","Kalembe - Pinga","Hope in Action","9-Oct","October-2009","10/10/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
107,"Nord Kivu","Masisi","Mweso","Domicile","Kitchanga - Mweso","Premiere Urgence","9-Oct","October-2009","10/13/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
108,"Nord Kivu","Lubero","Hutwe","Voie publique","Hutwe - Kirumba","NRC","9-Oct","October-2009","10/14/09","Pillage","Vol de rue","Avec violence physique",0,0,0
109,"Nord Kivu","Masisi","Kisuma","Voie publique","Matanda - Masisi","ACF - USA","9-Oct","October-2009","10/15/09","Agression armee ","Voie de fait  avec violence","Agression physique",0,0,0
110,"Nord Kivu","Masisi","Bukumbirire","Voie publique","Bukumbirire - Katoyi","OCHA","9-Oct","October-2009","10/16/09","Requisition forcee","Agression physique","Harcelement",0,0,0
111,"Nord Kivu","Masisi","Kimoho","Lieu public","Nyabyondo - Lukweti","MONUC","9-Oct","October-2009","10/18/09","Affrontements / Combats ","Voie de fait  avec violence",,0,0,0
112,"Nord Kivu","Rutshuru","Nyanzale","Domicile","Katsiru - Kikuku","MSF-F","9-Oct","October-2009","10/23/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
113,"Nord Kivu","Communes of Goma","Goma","Domicile","Ville de Goma","MSF-F","9-Oct","October-2009","10/28/09","Agressions ","Voie de fait  avec violence","Agression physique",0,0,0
114,"Nord Kivu","Masisi","Biteete","Voie publique","Bihambwe - Masisi centre","SC-UK","9-Oct","October-2009","10/28/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
115,"Nord Kivu","Lubero","Lubero","Bureau","Ville de Butembo","OCHA","9-Oct","October-2009","10/31/09","Agressions ","Voie de fait  avec violence","Agression physique",0,1,0
116,"Nord Kivu","Masisi","Kisuma","Voie publique","Bihambwe - Masisi centre","MSF-B","9-Oct","October-2009","10/31/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
117,"Nord Kivu","Masisi","Kirolirwe","Voie publique","Sake - Kitchanga","PAM","9-Nov","November-2009","11/3/09","Pillage","Vol de rue","Avec violence physique",0,0,0
118,"Nord Kivu","Rutshuru","Vitshumbi","Voie publique","Rwindi - Vitshumbi","SC-UK","9-Nov","November-2009","11/5/09","Tracasseries","Detention physique","Arrestation",0,0,0
119,"Nord Kivu","Rutshuru","Nyanzale","Domicile","Katsiru - Kikuku","MONUC / MSF-F","9-Nov","November-2009","11/7/09","Cambriolage ","Introduction dans une maison par effraction","Tentative d'introduction par effraction",0,0,0
120,"Nord Kivu","Communes of Goma","Quartier Kyeshero","Domicile","Quartier Kyeshero","Premiere Urgence","9-Nov","November-2009","11/11/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
121,"Nord Kivu","Communes of Goma","Quartier Kyeshero","Domicile","Quartier Kyeshero","Premiere Urgence","9-Nov","November-2009","11/11/09","Agression armee ","Agression physique","agression non sexuelle ",0,0,0
