province,quarter,number,key,text
Sud Kivu,1,856162,idp-jan-12,"856,162"
Orientale,1,466637,idp-jan-12,"466,637"
Katanga,1,71692,idp-jan-12,"71,692"
Equateur,1,8558,idp-jan-12,"8,558"
Maniema,1,66900,idp-jan-12,"66,900"
Nord Kivu,1,547949,idp-jan-12,"547,949"
Sud Kivu,2,856162,idp-apr-12,"856,162"
Orientale,2,466637,idp-apr-12,"466,637"
Katanga,2,71692,idp-apr-12,"71,692"
Equateur,2,8558,idp-apr-12,"8,558"
Maniema,2,66900,idp-apr-12,"66,900"
Nord Kivu,2,766682,idp-apr-12,"766,682"
Sud Kivu,3,844737,idp-jul-12,"844,737"
Orientale,3,497568,idp-jul-12,"497,568"
Katanga,3,224084,idp-jul-12,"224,084"
Equateur,3,7033,idp-jul-12,"7,033"
Maniema,3,89470,idp-jul-12,"89,470"
Nord Kivu,3,772459,idp-jul-12,"772,459"
