"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
1,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
2,"10-Jun","Orientale","Haut-Uele","Dungu",0,,3
3,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
4,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
5,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,1
6,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
7,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
8,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
9,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
10,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
11,"10-Jun","Orientale","Haut-Uele","Dungu",0,0,0
12,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
13,"10-Jan","Orientale","Haut-Uele","Dungu",3,13,0
14,"10-Jan","Orientale","Haut-Uele","Dungu",0,2,0
15,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
16,"10-Jan","Orientale","Haut-Uele","Dungu",4,2,3
17,"10-Jan","Orientale","Haut-Uele","Dungu",1,0,0
18,"10-Jan","Orientale","Haut-Uele","Dungu",2,0,1
19,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
20,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
21,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
22,"10-Jan","Orientale","Haut-Uele","Dungu",1,0,0
23,"10-Jan","Orientale","Haut-Uele","Dungu",5,0,0
24,"10-Jan","Orientale","Haut-Uele","Dungu",2,0,0
25,"10-Jan","Orientale","Haut-Uele","Dungu",1,0,0
26,"10-Jan","Orientale","Haut-Uele","Dungu",4,0,0
27,"10-Jan","Orientale","Haut-Uele","Dungu",2,0,0
28,"10-Jan","Orientale","Haut-Uele","Dungu",0,1,1
29,"10-Jan","Orientale","Haut-Uele","Dungu",0,1,0
30,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
31,"10-Jan","Orientale","Haut-Uele","Dungu",2,0,1
32,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
33,"10-Jan","Orientale","Haut-Uele","Dungu",0,0,0
34,"10-Jan","Orientale","Haut-Uele","Dungu",2,0,0
35,"10-Jan","Orientale","Haut-Uele","Niangara",2,0,0
36,"10-Jan","Orientale","Bas-Uele","Poko",0,4,0
37,"10-Feb","Orientale","Haut-Uele","Dungu",0,2,0
38,"10-Feb","Orientale","Haut-Uele","Dungu",1,0,0
39,"10-Feb","Orientale","Haut-Uele","Dungu",0,0,1
40,"10-Feb","Orientale","Haut-Uele","Dungu",0,0,2
41,"10-Feb","Orientale","Haut-Uele","Niangara",24,0,0
42,"10-Feb","Orientale","Haut-Uele","Niangara",7,0,0
43,"10-Feb","Orientale","Haut-Uele","Niangara",16,0,0
44,"10-Feb","Orientale","Haut-Uele","Niangara",7,5,25
45,"10-Feb","Orientale","Haut-Uele","Niangara",2,10,0
46,"10-Feb","Orientale","Haut-Uele","Niangara",4,,0
47,"10-Feb","Orientale","Haut-Uele","Niangara",5,20,0
48,"10-Feb","Orientale","Haut-Uele","Niangara",4,0,0
49,"10-Feb","Orientale","Haut-Uele","Niangara",2,0,0
50,"10-Feb","Orientale","Haut-Uele","Niangara",1,0,0
51,"10-Feb","Orientale","Haut-Uele","Niangara",2,0,0
52,"10-Feb","Orientale","Bas-Uele","Ango",,4,0
53,"10-Feb","Orientale","Bas-Uele","Ango",2,0,0
54,"10-Feb","Orientale","Bas-Uele","Ango",2,2,0
55,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
56,"10-Mar","Orientale","Haut-Uele","Dungu",2,,
57,"10-Mar","Orientale","Haut-Uele","Dungu",2,,
58,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
59,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
60,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
61,"10-Mar","Orientale","Haut-Uele","Dungu",2,,
62,"10-Mar","Orientale","Haut-Uele","Dungu",3,,19
63,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
64,"10-Mar","Orientale","Haut-Uele","Dungu",5,1,
65,"10-Mar","Orientale","Haut-Uele","Dungu",,,
66,"10-Mar","Orientale","Haut-Uele","Dungu",2,,
67,"10-Mar","Orientale","Haut-Uele","Dungu",3,,
68,"10-Mar","Orientale","Haut-Uele","Dungu",3,2,
69,"10-Mar","Orientale","Haut-Uele","Dungu",3,1,
70,"10-Mar","Orientale","Haut-Uele","Dungu",,,1
71,"10-Mar","Orientale","Haut-Uele","Dungu",3,1,
72,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
73,"10-Mar","Orientale","Haut-Uele","Dungu",1,,
74,"10-Mar","Orientale","Haut-Uele","Dungu",3,2,
75,"10-Mar","Orientale","Haut-Uele","Dungu",1,2,2
76,"10-Apr","Orientale","Haut-Uele","Dungu",,,
77,"10-Apr","Orientale","Haut-Uele","Dungu",1,,
78,"10-Apr","Orientale","Haut-Uele","Dungu",1,,12
79,"10-Apr","Orientale","Haut-Uele","Dungu",,,2
80,"10-Apr","Orientale","Haut-Uele","Dungu",,,
81,"10-Apr","Orientale","Haut-Uele","Dungu",1,3,2
82,"10-Apr","Orientale","Haut-Uele","Dungu",,1,
83,"10-Apr","Orientale","Haut-Uele","Dungu",,1,
84,"10-Apr","Orientale","Haut-Uele","Dungu",,1,
85,"10-Apr","Orientale","Haut-Uele","Dungu",,,2
86,"10-Apr","Orientale","Haut-Uele","Dungu",,2,
87,"10-Apr","Orientale","Haut-Uele","Dungu",2,,
88,"10-Apr","Orientale","Haut-Uele","Dungu",1,,
89,"10-Apr","Orientale","Haut-Uele","Niangara",2,,1
90,"10-Apr","Orientale","Haut-Uele","Niangara",,,1
91,"10-Apr","Orientale","Haut-Uele","Niangara",1,,
92,"10-May","Orientale","Haut-Uele","Dungu",,1,
93,"10-May","Orientale","Haut-Uele","Dungu",2,,
94,"10-May","Orientale","Haut-Uele","Dungu",2,,
95,"10-May","Orientale","Haut-Uele","Dungu",,,
96,"10-May","Orientale","Haut-Uele","Dungu",,,
97,"10-May","Orientale","Haut-Uele","Dungu",,,
98,"10-May","Orientale","Haut-Uele","Dungu",2,,
99,"10-May","Orientale","Haut-Uele","Dungu",4,1,
100,"10-May","Orientale","Haut-Uele","Dungu",1,,
