unique_id,month,month_text,province,district,territory,locality,no_attacks,ppl_killed,adults_kidnapped,infants_kidnapped
441,Jan-12,January 2012,Orientale,Haut-Uele,Dungu,Mbwele river (35 km S of Diagbe),1,0,0,0
442,Jan-12,January 2012,Orientale,Haut-Uele,Dungu,Andouala (9 km N of Ngilima),1,0,0,1
443,Jan-12,January 2012,Orientale,Haut-Uele,Faradje,Bilali 1 km E of Djabir (10 km E of Faradje),1,0,0,9
444,Jan-12,January 2012,Orientale,Bas-Uele,Ango,Catholic Parish of Monga,1,0,0,0
445,Jan-12,January 2012,Orientale,Haut-Uele,Dungu,7 km NW of Limay,1,0,0,0
446,Feb-12,February 2012,Orientale,Haut-Uele,Dungu,Linabanda (15 km SE of Bangadi) ,1,0,0,0
447,Feb-12,February 2012,Orientale,Haut-Uele,Dungu,1 km from the Napopo roundabout,1,0,5,0
448,Feb-12,February 2012,Orientale,Haut-Uele,Dungu,2 km W of Ngilima,1,0,0,0
449,Feb-12,February 2012,Orientale,Haut-Uele,Dungu,Nakwa (18 km SE of Bangadi),1,1,0,0
450,Feb-12,February 2012,Orientale,Haut-Uele,Dungu,Bakaikpo (2 km E of Nabiapay),1,0,2,0
451,Feb-12,February 2012,Orientale,Haut-Uele,Faradje,Kibinzi (3 km W of Faradje),1,0,0,0
452,Feb-12,February 2012,Orientale,Haut-Uele,Faradje,Aligi (3 km W of Faradje),1,0,0,0
453,Feb-12,February 2012,Orientale,Haut-Uele,Faradje,Yanguma (9 km W of Faradje),1,0,0,1
454,Feb-12,February 2012,Orientale,Haut-Uele,Niangara,Yanguma (15 km NE of Niangara),1,0,0,0
455,Feb-12,February 2012,Orientale,Haut-Uele,Niangara,5 km W of Nambia (15 km N of Niangara),1,0,0,0
456,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,"5 km of Gangala Na Bodio, direction Dungu PK 65",1,0,2,0
457,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Masubusubu (18 km SW of Bangadi) near Mbuele river,1,0,5,0
458,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,"PK 26 E of Dungu, Dungu road _ Faradje",1,0,1,0
459,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Mabeleni (5 km E of Gangala Na Bodio),1,0,0,0
460,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Nangwakaza ( 7 km E of Dungu)  ,1,0,2,0
461,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Buye (30 km NW of Naparka),1,0,5,0
462,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Nendike 12 km NW of Bangadi,1,1,0,0
463,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Nalumbalumba (4 km SW of Bangadi),1,0,1,0
464,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,2 km S of Bangadi,1,0,0,0
465,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Badolo (7 km NW of Bangadi),1,0,1,0
466,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Milagbe (12 km SE of Doruma),1,0,3,0
467,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Gurba (25 km SE of Naparka),1,0,0,0
468,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Milagbe (12 km SE of Doruma),1,0,2,0
469,Mar-12,March 2012,Orientale,Haut-Uele,Dungu,Naparka (60 SW of Doruma),1,0,1,0
