"month","province","district","territory","locality","num_attacks","ppl_killed","adults_kidnapped","infants_kidnapped","description"
"10-Jun","Orientale","Haut-Uele","Dungu","Kalawa",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Tolo",1,0,,3,
"10-Jun","Orientale","Haut-Uele","Dungu","Li-nakofu",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Makusa",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Kiliwa",1,0,0,1,
"10-Jun","Orientale","Haut-Uele","Dungu","Nangume",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Nakale",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Limay/Kiliwa",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Pasy (ouest de Panagbala vers la RCA)",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Nakwakanza",1,0,0,0,
"10-Jun","Orientale","Haut-Uele","Dungu","Bangadi",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Nangbende (5 km NO de Bamokandi)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Suka (35 km S de Bangadi)",1,3,13,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Kakalika (3 km N de l�a_ro MONUC)",1,0,2,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Route 4 (100 km E de Dungu)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Nagilidangwa (37 km S de Bangadi)",1,4,2,3,
"10-Jan","Orientale","Haut-Uele","Dungu","Nambiongo (20 km N de Dungu)",1,1,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Bayote (25 km E de Ngilima)",1,2,0,1,
"10-Jan","Orientale","Haut-Uele","Dungu","Mangba (7 km E de Naango)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Kiliwa (45 km N de Dungu)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Kitili (5 km NO de Ngilima)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Diagbe (35 NO de Bangadi)",1,1,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Napusi (2 km N de Bamokandi)",1,5,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Kakalika (3 km N de l�a_ro MONUC)",1,2,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Nakpudu (7 km NE de l�a_ro MONUC)",1,1,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Buye (55 km NE de Banda)",1,4,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Nagonyo (5 km NO de Bamokandi)",1,2,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Naguga (11 km N de Bamokandi)",1,0,1,1,
"10-Jan","Orientale","Haut-Uele","Dungu","Nanvii (5 km N de Bamokandi)",1,0,1,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Kilikili (3 km N de Bamokandi)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Pudupudu (27 km NO de Dungu)",1,2,0,1,
"10-Jan","Orientale","Haut-Uele","Dungu","Lanzi (5 km N de Dungu)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Nasala (109 km E de Dungu)",1,0,0,0,
"10-Jan","Orientale","Haut-Uele","Dungu","Limayi (25 km N de Dungu)",1,2,0,0,
"10-Jan","Orientale","Haut-Uele","Niangara","Quartier Zande (3 km N de la ville de Niangara)",1,2,0,0,
"10-Jan","Orientale","Bas-Uele","Poko","Mburu (24 km E d�Amadi)",1,0,4,0,
"10-Feb","Orientale","Haut-Uele","Dungu","Nabiapay (135 km N de Dungu)",1,0,2,0,
"10-Feb","Orientale","Haut-Uele","Dungu","Limay (25 km N de Dungu)",1,1,0,0,
"10-Feb","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",1,0,0,1,
"10-Feb","Orientale","Haut-Uele","Dungu","Kpaika (75 km N de Dungu)",1,0,0,2,
"10-Feb","Orientale","Haut-Uele","Niangara","Munuku (35 km O Nambia et 10 km E Kpanga)",1,24,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","Kpanga (45 km O Nambia)",1,7,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","Mapi (5 km O Kpanga)",1,16,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","Kpuru (7 km from Suronga, 18 km NO Mabanga Yatalo, 8 km from Mapi, on SE side of Mbwele river and NE side of Uele river)",1,7,5,25,
"10-Feb","Orientale","Haut-Uele","Niangara","Entre Kpuru et Mapi",1,2,10,0,
"10-Feb","Orientale","Haut-Uele","Niangara","Source Tende (5 km from Kpuru on the Mbwele River)",1,4,,0,
"10-Feb","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviﾏre Mbwele",1,5,20,0,
"10-Feb","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviﾏre Mbwele",1,4,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviﾏre Mbwele",1,2,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviﾏre Mbwele",1,1,0,0,
"10-Feb","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviﾏre Mbwele",1,2,0,0,
"10-Feb","Orientale","Bas-Uele","Ango","Dakwa (85 km E d�Ango)",1,,4,0,
"10-Feb","Orientale","Bas-Uele","Ango","Dakwa (85 km E d�Ango)",1,2,0,0,
"10-Feb","Orientale","Bas-Uele","Ango","Le long de la Rivi�re Mbomu � la fronti�re RDC - RCA",1,2,2,0,
"10-Mar","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi)",1,1,,,
"10-Mar","Orientale","Haut-Uele","Dungu","Badolo (9 km NO de Bangadi",1,2,,,
"10-Mar","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi",1,2,,,
"10-Mar","Orientale","Haut-Uele","Dungu","Nangwa (18 km NO de Bangadi)",1,1,,,
"10-Mar","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi",1,1,,,
"10-Mar","Orientale","Haut-Uele","Dungu","Bilisi (13 km E de Bangadi)",1,1,,,
