unique_id,province,territory,locality,place,axe,source,month,date_incident,type_incident,category,sub_category
1,Nord-Kivu,Lubero,Kimbulu,Voie publique,Lubero-Butembo,NRC,9-Jan,1/3/09,Requisition forcee,Agression physique,
2,Nord-Kivu,Walikale,Ndjingala,Voie publique,Walikale centre - Lubutu,NRC,9-Jan,1/9/09,Tracasseries,Detention physique,Arrestation
3,Nord-Kivu,Beni,Beni,Bureau,Beni,SC-UK,9-Jan,1/14/09,Agression armee ,Agression physique,agression non sexuelle 
4,Nord-Kivu,Rutshuru,Rwindi,Voie publique,Rwindi-Mabenga,MSF-B,9-Jan,1/19/09,Pillage,Vol de rue,Avec violence physique
5,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,Solidaritթs,9-Jan,1/21/09,Cambriolage ,Introduction dans une maison par effraction,Avec violence physique
6,Nord-Kivu,Lubero,Butembo,Bureau,Butembo,Oxfam-Quթbec,9-Feb,2/6/09,Agression armee ,Agression physique,agression non sexuelle 
7,Nord-Kivu,Lubero,Kanyabayonga,Inconnu,Kanyabayonga-Nyanzale,APETAMACO,9-Feb,2/8/09,Requisition forcee,Agression physique,Harcelement
8,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,PAM,9-Feb,2/14/09,Cambriolage ,Introduction dans une maison par effraction,Tentative d'introduction par effraction
9,Nord-Kivu,Masisi,Masisi,Voie publique,Kitchanga-Mweso,IRC,9-Feb,2/17/09,Agression armee ,Agression physique,agression non sexuelle 
10,Nord-Kivu,Walikale,Mubanda,Bureau,Walikale-Mpofi,AAA,9-Feb,2/17/09,Pillage,Vol de rue,Avec violence physique
11,Nord-Kivu,Masisi,,Voie publique,Kitchanga-Bishusha,MSF-H,9-Feb,2/18/09,Agression armee ,Agression physique,agression non sexuelle 
12,Nord-Kivu,Masisi,Muhongozi,Voie publique,Kitchanga-Mweso,IRC,9-Feb,2/19/09,Pillage,Vol de rue,Avec violence physique
13,Nord-Kivu,Rutshuru,JTN,Voie publique,Mweso-Lutiba,Mercy Corps,9-Feb,2/19/09,Agression armee ,Agression physique,agression non sexuelle 
14,Nord-Kivu,Lubero,Lubero,Voie publique,Lubero,Caritas Butembo,9-Feb,2/24/09,Tracasseries,Detention physique,Arrestation
15,Nord-Kivu,Rutshuru,Kalengera,Voie publique,Kalengera-Tongo,MERLIN,9-Feb,2/26/09,Agression armee ,Agression physique,agression non sexuelle 
16,Nord-Kivu,Rutshuru,Tongo,Voie publique,Tongo-Kitchanga,MERLIN,9-Feb,2/26/09,Agression armee ,Agression physique,agression non sexuelle 
17,Nord-Kivu,Communes of Goma,Goma,,Goma,PU,9-Feb,2/27/09,Cambriolage ,,
18,Nord-Kivu,Masisi,,Inconnu,Kitchanga-Mweso,CICR,9-Feb,2/27/09,Agression armee ,Agression physique,agression non sexuelle 
19,Nord-Kivu,Masisi,,Voie publique,Kitchanga-Mweso,MERLIN,9-Feb,2/27/09,Pillage,Vol de rue,Avec violence physique
20,Nord-Kivu,Masisi,Mushaki,Inconnu,Sake-Masisi centre,AREPS,9-Feb,2/28/09,Agression armee ,Agression physique,agression non sexuelle 
21,Nord-Kivu,Masisi,Mweso,Vehicule,Mweso-Kalembe,MSF-H,9-Mar,3/2/09,Agression armee ,Agression physique,agression non sexuelle 
22,Nord-Kivu,Communes of Goma,Goma,Inconnu,Goma,Heal Africa,9-Mar,3/5/09,Tracasseries,Detention physique,Arrestation
23,Nord-Kivu,Masisi,,Vehicule,Goma-Sake,Solidaritթs,9-Mar,3/5/09,Requisition forcee,Agression physique,Harcelement
24,Nord-Kivu,Rutshuru,Bambo,Vehicule,Bambo,MSF-F,9-Mar,3/6/09,Agression armee ,Agression physique,agression non sexuelle 
25,Nord-Kivu,Masisi,Muhongozi,Voie publique,Kitchanga-Mweso,PAM,9-Mar,3/9/09,Tentative de vol / Pillage ,Vol de rue,Avec violence physique
26,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,HCR,9-Mar,3/11/09,Agression armee ,Agression physique,agression non sexuelle 
27,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,UNDSS,9-Mar,3/13/09,Cambriolage ,Introduction dans une maison par effraction,Tentative d'introduction par effraction
28,Nord-Kivu,Masisi,Kirolirwe,Vehicule,Kirolirwe-Muheto,IRC,9-Mar,3/18/09,Agression armee ,Agression physique,agression non sexuelle 
29,Nord-Kivu,Rutshuru,Kalengera,Vehicule,Kako-Kalengera,IRC,9-Mar,3/18/09,Agression armee ,Agression physique,agression non sexuelle 
30,Nord-Kivu,Rutshuru,Burai,Voie publique,Burai-Bunagana,IRC,9-Mar,3/31/09,Pillage,Vol de rue,Avec violence physique
31,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,Air-Serv,9-Apr,4/2/09,Cambriolage ,Introduction dans une maison par effraction,Tentative d'introduction par effraction
32,Nord-Kivu,Beni,Beni,Bureau,Beni,OCHA Beni,9-Apr,4/3/09,Cambriolage ,Introduction dans une maison par effraction,Tentative d'introduction par effraction
33,Nord-Kivu,Rutshuru,Rubare,Voie publique,Goma-Rutshuru,IRC,9-Apr,4/6/09,Agression armee ,Vol de rue,Sans violence physique
34,Nord-Kivu,Rutshuru,Ngwenda,Voie publique,Kiwanja-Ishasha,IRC,9-Apr,4/9/09,Agression armee ,Vol de rue,Sans violence physique
35,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,UNDSS,9-Apr,4/13/09,Tentative de vol / Pillage ,Vol de rue,Sans violence physique
36,Nord-Kivu,Masisi,Mubambiro,Voie publique,Goma-Sake,UNDSS,9-Apr,4/14/09,Requisition forcee,Agression physique,Harcelement
37,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,UNDSS,9-Apr,4/21/09,Cambriolage ,Introduction dans une maison par effraction,Tentative d'introduction par effraction
38,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,UNDSS,9-Apr,4/21/09,Tentative de vol / Pillage ,Vol de rue,Avec violence physique
39,Nord-Kivu,Rutshuru,Kalengera,Vehicule,Goma-Rutshuru,secours catholique,9-Apr,4/22/09,Agression armee ,Agression physique,agression non sexuelle 
40,Nord-Kivu,Rutshuru,Kiseguru,Voie publique,Kiwanja-Nyamilima,COOPI,9-Apr,4/29/09,Agression armee ,Agression physique,agression non sexuelle 
41,Nord-Kivu,Communes of Goma,Goma,Domicile,Goma,World Vision International,9-May,5/6/09,Tentative de vol / Pillage ,Vol de rue,Sans violence physique
42,Nord-Kivu,Communes of Goma,Goma,Inconnu,Goma,Care International,9-May,5/10/09,Agression armee ,Agression physique,agression non sexuelle 
43,Nord-Kivu,Lubero,Mighobwe,Inconnu,Mighobwe,OCHA,9-May,5/13/09,Requisition forcee,Agression physique,Harcelement
