unique_id,province,territory,locality,place,axe,source,date_incident,month,month_text,type_incident,category,sub_category,num_missing,num_injured,num_deaths
454,Sud Kivu,Uvira,Marungu,Bureau,Bijombo,HCR,1/4/12,12-Jan,Jan-12,Cambriolage,Voie de fait  avec violence,Agression physique,0,0,0
455,Nord Kivu,Goma,Quartier Himbi,Domicile,Goma,UNDSS,1/10/12,12-Jan,Jan-12,Cambriolage,Introduction dans une maison par effraction,Tentative d'introduction par effraction,0,0,0
456,Nord Kivu,Rutshuru,Luve,Voie publique,Luve - Katsiru,MSF-F,1/11/12,12-Jan,Jan-12,Pillage,Vol de rue,Sans violence physique,0,0,0
457,Sud Kivu,Fizi,Kakone,Voie publique,Sud Kazimia,ZOA,1/11/12,12-Jan,Jan-12,Agression armee,Vol de rue,Avec violence physique,0,0,0
458,Nord Kivu,Beni,Cantine,Voie publique,Beni - Butongo,MONUSCO,1/12/12,12-Jan,Jan-12,Tracasseries,Detention physique,Arrestation,0,0,0
459,Sud Kivu,Bukavu,Bukavu,Domicile,Bukavu,PLD,1/12/12,12-Jan,Jan-12,Agression armee,Introduction dans une maison par effraction,Avec violence physique,0,0,0
460,Sud Kivu,Kabare,Kabamba,Inconnu,Kabare,FSH,1/13/12,12-Jan,Jan-12,Requisition forcee,Detention physique,D_tention,0,0,0
461,Nord Kivu,Masisi,Kalembe,Voie publique,Kalembe - Pinga,MSF-H,1/19/12,12-Jan,Jan-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
462,Nord Kivu,Rutshuru,Luve,Voie publique,Luve - Kastiru,Heal Africa,1/19/12,12-Jan,Jan-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
463,Sud Kivu,Shabunda,Lumba,Voie publique,Shabunda centre-Byangama,CRS,1/20/12,12-Jan,Jan-12,Agression armee,Agression physique,,0,0,0
464,Sud Kivu,Shabunda,Mulungu,Voie publique,Bukavu-Mulungu,Maltezer,1/22/12,12-Jan,Jan-12,Tracasseries,Voie de fait  avec violence,Voie de fait,0,0,0
465,Katanga,Kalemie,Bendera,Domicile,125 Km de Kalemie,Monusco,1/23/12,12-Jan,Jan-12,Tracasseries,Detention physique,D_tention,0,0,0
466,Nord Kivu,Walikale,Kailenge,Voie publique,Kalembe - Pinga,MSF-H,1/24/12,12-Jan,Jan-12,Tentative de vol / pillage,Vol de rue,Avec violence physique,0,3,0
467,Sud Kivu,Fizi,Baraka,Bureau,Baraka,OCHA,1/24/12,12-Jan,Jan-12,Agression armee,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
468,Nord Kivu,Walikale,Walikale,Voie publique,Walikale Centre,UNDSS,1/25/12,12-Jan,Jan-12,Tracasseries,Agression physique,,0,0,0
469,Nord Kivu,Masisi,Kitchanga,Bureau,Sake - Kitchanga,OCHA,1/26/12,12-Jan,Jan-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
470,Nord Kivu,Rutshuru,Kalengera,Voie publique,Kalengera - Tongo,MSF-F,1/26/12,12-Jan,Jan-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
